#FeatureID	LifeStage	Color
2135eaa5b91f04dc6c377562d5dc09a4	Ephyra	#87CEEB
2135eaa5b91f04dc6c377562d5dc09a4	Medusae	#32CD32
2135eaa5b91f04dc6c377562d5dc09a4	Polyp	#FF69B4
0f9964b3c12cd5fcbaac649d49d287ee	Ephyra	#87CEEB
0f9964b3c12cd5fcbaac649d49d287ee	Medusae	#32CD32
0f9964b3c12cd5fcbaac649d49d287ee	Polyp	#FF69B4
72c323ee5902edbb7b79efecdd5b2e3c	Ephyra	#87CEEB
72c323ee5902edbb7b79efecdd5b2e3c	Medusae	#32CD32
72c323ee5902edbb7b79efecdd5b2e3c	Polyp	#FF69B4
110d016bf58f65c9cf8d57b2bc409db8	Medusae	#32CD32
110d016bf58f65c9cf8d57b2bc409db8	Polyp	#FF69B4
4a9825bd1359fb68a353b06c71b9b04f	Medusae	#32CD32
4a9825bd1359fb68a353b06c71b9b04f	Polyp	#FF69B4
4e220a9380d25fbdb1b1681bd8e08e1d	Ephyra	#87CEEB
4e220a9380d25fbdb1b1681bd8e08e1d	Medusae	#32CD32
4e220a9380d25fbdb1b1681bd8e08e1d	Polyp	#FF69B4
73c98c3ced4bbb1f4d3d0ae0d1d03f53	Ephyra	#87CEEB
73c98c3ced4bbb1f4d3d0ae0d1d03f53	Medusae	#32CD32
73c98c3ced4bbb1f4d3d0ae0d1d03f53	Polyp	#FF69B4
5140965609e1f928e16e675edc225cd6	Medusae	#32CD32
5140965609e1f928e16e675edc225cd6	Polyp	#FF69B4
5693864ff0d541b4569c1a0dbaf91207	Medusae	#32CD32
5693864ff0d541b4569c1a0dbaf91207	Polyp	#FF69B4
f92d3015a23a0e0b67223be1f9a8a6ce	Medusae	#32CD32
f92d3015a23a0e0b67223be1f9a8a6ce	Polyp	#FF69B4
c14c32b6e55160fb384327c0e04c5862	Medusae	#32CD32
c14c32b6e55160fb384327c0e04c5862	Polyp	#FF69B4
9ab20044c61bf536cc132b4583aa4ec3	Medusae	#32CD32
9ab20044c61bf536cc132b4583aa4ec3	Polyp	#FF69B4
3a0983c9a476952073c02a70810c2f9a	Medusae	#32CD32
3a0983c9a476952073c02a70810c2f9a	Polyp	#FF69B4
35b396e12f1b0b426476d17d3a06caa7	Medusae	#32CD32
35b396e12f1b0b426476d17d3a06caa7	Polyp	#FF69B4
8c82e05f6a79fb422fd753b3d900d346	Medusae	#32CD32
8c82e05f6a79fb422fd753b3d900d346	Polyp	#FF69B4
f702d525619bd3a7da19482b70baf1c4	Ephyra	#87CEEB
f702d525619bd3a7da19482b70baf1c4	Medusae	#32CD32
f702d525619bd3a7da19482b70baf1c4	Polyp	#FF69B4
05ccf93ee2c4dcdffd176d0e4ca3c9db	Medusae	#32CD32
05ccf93ee2c4dcdffd176d0e4ca3c9db	Polyp	#FF69B4
ee3c02c98c5f2bb3184b6c06bcfcc90d	Medusae	#32CD32
ee3c02c98c5f2bb3184b6c06bcfcc90d	Polyp	#FF69B4
a93f3c7f0cc9a65f814f29e74a73fd01	Medusae	#32CD32
a93f3c7f0cc9a65f814f29e74a73fd01	Polyp	#FF69B4
41029cf7ce5d0c2639e19b790657a9da	Medusae	#32CD32
41029cf7ce5d0c2639e19b790657a9da	Polyp	#FF69B4
5fef47d7ca916c458f2acdabdd4fc632	Medusae	#32CD32
5fef47d7ca916c458f2acdabdd4fc632	Polyp	#FF69B4
68bb3196446383cf717c711c099f9532	Medusae	#32CD32
68bb3196446383cf717c711c099f9532	Polyp	#FF69B4
44de2d5e37d39d4356fccd61ac8d6bbe	Medusae	#32CD32
44de2d5e37d39d4356fccd61ac8d6bbe	Polyp	#FF69B4
c0222ee969243ea5dcab69377a5a9d5c	Polyp	#FF69B4
9c9c07c5f1f743621a7d7743f1cf524e	Medusae	#32CD32
9c9c07c5f1f743621a7d7743f1cf524e	Polyp	#FF69B4
686709e3bba6c0aabb3906f7307d449d	Ephyra	#87CEEB
686709e3bba6c0aabb3906f7307d449d	Medusae	#32CD32
686709e3bba6c0aabb3906f7307d449d	Polyp	#FF69B4
366ab15b88fa1920538b2b5104ce64bc	Medusae	#32CD32
366ab15b88fa1920538b2b5104ce64bc	Polyp	#FF69B4
a340509099fb4c72532dc05138a1136b	Medusae	#32CD32
a340509099fb4c72532dc05138a1136b	Polyp	#FF69B4
04dbdf57b4948227692bae1ef2e85dad	Medusae	#32CD32
04dbdf57b4948227692bae1ef2e85dad	Polyp	#FF69B4
c67e7d40e505d395d4a1dfc9f840dbdc	Medusae	#32CD32
c67e7d40e505d395d4a1dfc9f840dbdc	Polyp	#FF69B4
da4ee6611eaf65829faa4f4d63b3c7d1	Medusae	#32CD32
da4ee6611eaf65829faa4f4d63b3c7d1	Polyp	#FF69B4
1ab08006c53f1dfea22bfe9277875c1c	Medusae	#32CD32
1ab08006c53f1dfea22bfe9277875c1c	Polyp	#FF69B4
943f6171fa23d60817bbc7edbf57f4c6	Polyp	#FF69B4
d8d4d4f4f23d4ab41bebeda04a3fc0f1	Medusae	#32CD32
d8d4d4f4f23d4ab41bebeda04a3fc0f1	Polyp	#FF69B4
e8af1b5272f1d7e59126536628219b05	Medusae	#32CD32
e8af1b5272f1d7e59126536628219b05	Polyp	#FF69B4
3848b5414519eb2759d65cb892a07957	Polyp	#FF69B4
b3905f6d2cea075f19a8129058eadbff	Medusae	#32CD32
b3905f6d2cea075f19a8129058eadbff	Polyp	#FF69B4
cddf497262e9ce935e058105e6252642	Polyp	#FF69B4
4c0532118d3780b3d7bcbe50201dcda9	Polyp	#FF69B4
dc9f9bd55f8089e16bdfdfb39afe0591	Medusae	#32CD32
dc9f9bd55f8089e16bdfdfb39afe0591	Polyp	#FF69B4
5f075f9b20a68f1ad1faafc963d194b7	Polyp	#FF69B4
4c40205517345f356281ddcfe23c20e5	Medusae	#32CD32
4c40205517345f356281ddcfe23c20e5	Polyp	#FF69B4
fd2ca755a684013e1ab0ceeaeeb92a12	Polyp	#FF69B4
8307fe4f26f20be359cd7ecc5285ca3d	Medusae	#32CD32
8307fe4f26f20be359cd7ecc5285ca3d	Polyp	#FF69B4
06b92dc8c1436384f6d23ac8e6761491	Medusae	#32CD32
06b92dc8c1436384f6d23ac8e6761491	Polyp	#FF69B4
f160d665ae39a93cef04024c90533cf3	Medusae	#32CD32
f160d665ae39a93cef04024c90533cf3	Polyp	#FF69B4
cd41f6e40eecc781ac6c1c4bae9d0122	Medusae	#32CD32
cd41f6e40eecc781ac6c1c4bae9d0122	Polyp	#FF69B4
6802ecc27822f07cfaf856a745c10180	Polyp	#FF69B4
37ee24a3cd7f181694ae0fc8d229d531	Medusae	#32CD32
37ee24a3cd7f181694ae0fc8d229d531	Polyp	#FF69B4
81f62949875cf956bf562e65c1d57b4f	Medusae	#32CD32
81f62949875cf956bf562e65c1d57b4f	Polyp	#FF69B4
